Left,Top,Value,Group
almond,fruit-juice,0,0
almond,garlic,4,0
almond,gin,0,0
almond,ginger,5,1
almond,goat-cheese,0,0
almond,goose,0,0
almond,gouda,0,0
almond,granola,0,0
almond,grape,0,0
almond,grapefruit,0,0
almond,green-bean,0,0
almond,green-onion,0,0
almond,ground-beef,0,0
almond,ground-lamb,0,0
almond,guava,0,0
almond,halibut,0,0
almond,ham,0,0
almond,hazelnut,4,0
almond,herb,1,0
almond,hominy,0,0
almond,honey,6,1
almond,honeydew,0,0
almond,horseradish,0,0
almond,hot-pepper,1,0
almond,hummus,0,0
almond,jalapeno,0,0
almond,jam,1,0
almond,jerusalem-artichoke,0,0
almond,kale,0,0
almond,kiwi,0,0
almond,kumquat,0,0
almond,lamb,0,0
almond,lamb-chop,0,0
almond,lamb-shank,0,0
almond,leek,1,0
almond,legume,0,0
almond,lemon,6,1
almond,lemon-juice,0,0
almond,lemongrass,0,0
almond,lentil,0,0
almond,lettuce,0,0
almond,lima-bean,0,0
almond,lime,0,0
almond,lime-juice,0,0
almond,lingonberry,0,0
almond,lobster,0,0
almond,lychee,0,0
almond,macadamia-nut,0,0
almond,mango,0,0
almond,maple-syrup,0,0
almond,margarita,0,0
almond,marscarpone,0,0
almond,marshmallow,0,0
almond,mayonnaise,0,0
almond,meat,0,0
almond,melon,0,0
almond,milk,11,1
almond,mint,1,0
almond,mozzarella,0,0
almond,mushroom,0,0
almond,mussel,0,0
almond,mustard,0,0
almond,mustard-greens,0,0
almond,nectarine,1,0
almond,noodle,0,0
almond,nutmeg,0,0
almond,oat,3,0
almond,oatmeal,0,0
almond,octopus,0,0
almond,okra,0,0
almond,olive,2,0
almond,onion,2,0
almond,orange,6,1
almond,orange-juice,0,0
almond,oregano,0,0
almond,orzo,0,0
almond,oyster,0,0
almond,pancake,0,0
almond,papaya,0,0
almond,paprika,0,0
almond,parmesan,1,0
almond,parsley,2,0
almond,parsnip,0,0
almond,passion-fruit,0,0
almond,pasta,1,0
almond,pea,0,0
almond,peach,1,0
almond,peanut,0,0
almond,peanut-butter,0,0
almond,pear,3,0
almond,pecan,3,0
almond,pepper,0,0
almond,persimmon,0,0
almond,pickles,0,0
almond,pine-nut,0,0
almond,pineapple,1,0
almond,pistachio,3,0
almond,plum,1,0
almond,poblano,0,0
almond,pomegranate,0,0
almond,pomegranate-juice,0,0
almond,pork,0,0
almond,pork-chop,0,0
almond,pork-rib,0,0
almond,pork-tenderloin,0,0
almond,potato,1,0
almond,prosciutto,0,0
almond,prune,0,0
almond,pumpkin,0,0
almond,quail,0,0
almond,quince,0,0
almond,quinoa,0,0
almond,rabbit,0,0
almond,rack-of-lamb,0,0
almond,radicchio,0,0
almond,radish,0,0
almond,raisin,7,1
almond,raspberry,4,0
almond,red-wine,0,0
almond,rhubarb,0,0
almond,rice,3,0
almond,ricotta,0,0
almond,rosemary,0,0
almond,rum,0,0
almond,rutabaga,0,0
almond,rye,0,0
almond,saffron,1,0
almond,salmon,0,0
almond,salsa,0,0
almond,sangria,0,0
almond,sardine,0,0
almond,sausage,0,0
almond,scallop,0,0
almond,semolina,0,0
almond,sesame,0,0
almond,sesame-oil,0,0
almond,shallot,0,0
almond,shellfish,0,0
almond,shrimp,0,0
almond,sour-cream,2,0
almond,soy,0,0
almond,soy-sauce,0,0
almond,spinach,0,0
almond,squid,0,0
almond,strawberry,3,0
almond,sweet-potato,0,0
almond,swiss-cheese,0,0
almond,swordfish,0,0
almond,taco,0,0
almond,tamarind,0,0
almond,tapioca,0,0
almond,tarragon,0,0
almond,tequila,0,0
almond,thyme,0,0
almond,tilapia,0,0
almond,tofu,0,0
almond,tomatillo,0,0
almond,tomato,3,0
almond,tortillas,0,0
almond,trout,0,0
almond,tuna,0,0
almond,turkey,0,0
almond,turnip,0,0
almond,vanilla,2,0
almond,veal,0,0
almond,venison,0,0
almond,vinegar,1,0
almond,vodka,0,0
almond,walnut,5,1
almond,wasabi,0,0
almond,watercress,1,0
almond,watermelon,0,0
almond,whiskey,0,0
almond,white-wine,0,0
almond,whole-wheat,0,0
almond,wild-rice,0,0
almond,yogurt,1,0
almond,yuca,0,0
almond,zucchini,0,0
anchovy,almond,0,0
anchovy,anchovy,100,10
anchovy,anise,0,0
anchovy,apple,0,0
anchovy,apple-juice,0,0
anchovy,apricot,0,0
anchovy,artichoke,11,1
anchovy,arugula,0,0
anchovy,asian-pear,0,0
anchovy,asparagus,7,1
anchovy,avocado,0,0
anchovy,bacon,0,0
anchovy,banana,0,0
anchovy,barley,0,0
anchovy,basil,7,1
anchovy,bass,0,0
anchovy,bean,3,0
anchovy,beef,0,0
anchovy,beef-rib,0,0
anchovy,beef-shank,0,0
anchovy,beef-tenderloin,0,0
anchovy,beer,0,0
anchovy,beet,0,0
anchovy,bell-pepper,0,0
anchovy,berry,0,0
anchovy,biscuit,0,0
anchovy,blackberry,0,0
anchovy,blue-cheese,0,0
anchovy,blueberry,0,0
anchovy,bok-choy,0,0
anchovy,bran,0,0
anchovy,brandy,0,0
anchovy,bread,3,0
anchovy,breadcrumbs,7,1
anchovy,brie,0,0
anchovy,brisket,0,0
anchovy,broccoli,3,0
anchovy,broccoli-rabe,3,0
anchovy,brown-rice,0,0
anchovy,brussel-sprout,3,0
anchovy,buffalo,0,0
anchovy,bulgur,0,0
anchovy,butter,11,1
anchovy,buttermilk,7,1
anchovy,butternut-squash,0,0
anchovy,cabbage,3,0
anchovy,cantaloupe,0,0
anchovy,capers,3,0
anchovy,caramel,0,0
anchovy,caraway,0,0
anchovy,cardamom,0,0
anchovy,carrot,3,0
anchovy,cashew,0,0
anchovy,cauliflower,3,0
anchovy,caviar,0,0
anchovy,celery,7,1
anchovy,chard,0,0
anchovy,cheddar,0,0
anchovy,cherry,0,0
anchovy,chestnut,0,0
anchovy,chicken,0,0
anchovy,chickpea,0,0
anchovy,chile-pepper,3,0
anchovy,chili,0,0
anchovy,chive,11,1
anchovy,chocolate,0,0
anchovy,cilantro,3,0
anchovy,cinnamon,0,0
anchovy,citrus,0,0
anchovy,clam,0,0
anchovy,clove,0,0
anchovy,coconut,0,0
anchovy,cod,0,0
anchovy,coffee,0,0
anchovy,collard-greens,0,0
anchovy,cookie,0,0
anchovy,coriander,0,0
anchovy,corn,0,0
anchovy,cornmeal,0,0
anchovy,cottage-cheese,0,0
anchovy,couscous,0,0
anchovy,crab,0,0
anchovy,cranberry,0,0
anchovy,cranberry-sauce,0,0
anchovy,cream-cheese,0,0
anchovy,cucumber,0,0
anchovy,cumin,0,0
anchovy,currant,0,0
anchovy,curry,0,0
anchovy,date,0,0
anchovy,dill,3,0
anchovy,duck,0,0
anchovy,egg,11,1
anchovy,eggplant,0,0
anchovy,endive,0,0
anchovy,escarole,0,0
anchovy,fennel,11,1
anchovy,feta,0,0
anchovy,fig,0,0
anchovy,flat-bread,0,0
anchovy,fontina,0,0
anchovy,fruit-juice,0,0
anchovy,garlic,30,3
anchovy,gin,0,0
anchovy,ginger,0,0
anchovy,goat-cheese,3,0
anchovy,goose,0,0
anchovy,gouda,0,0
anchovy,granola,0,0
anchovy,grape,0,0
anchovy,grapefruit,0,0
anchovy,green-bean,3,0
anchovy,green-onion,3,0
anchovy,ground-beef,0,0
anchovy,ground-lamb,0,0
anchovy,guava,0,0
anchovy,halibut,0,0
anchovy,ham,0,0
anchovy,hazelnut,0,0
anchovy,herb,7,1
anchovy,hominy,0,0
anchovy,honey,0,0
anchovy,honeydew,0,0
anchovy,horseradish,0,0
anchovy,hot-pepper,0,0
anchovy,hummus,0,0
anchovy,jalapeno,0,0
anchovy,jam,0,0
anchovy,jerusalem-artichoke,0,0
anchovy,kale,11,1
anchovy,kiwi,0,0
anchovy,kumquat,0,0
anchovy,lamb,3,0
anchovy,lamb-chop,0,0
anchovy,lamb-shank,0,0
anchovy,leek,0,0
anchovy,legume,0,0
anchovy,lemon,7,1
anchovy,lemon-juice,7,1
anchovy,lemongrass,0,0
anchovy,lentil,0,0
anchovy,lettuce,11,1
anchovy,lima-bean,0,0
anchovy,lime,0,0
anchovy,lime-juice,0,0
anchovy,lingonberry,0,0
anchovy,lobster,0,0
anchovy,lychee,0,0
anchovy,macadamia-nut,0,0
anchovy,mango,0,0
anchovy,maple-syrup,0,0
anchovy,margarita,0,0
anchovy,marscarpone,0,0
anchovy,marshmallow,0,0
anchovy,mayonnaise,11,1
anchovy,meat,0,0
anchovy,melon,0,0
anchovy,milk,3,0
anchovy,mint,0,0
anchovy,mozzarella,0,0
anchovy,mushroom,0,0
anchovy,mussel,0,0
anchovy,mustard,0,0
anchovy,mustard-greens,0,0
anchovy,nectarine,0,0
anchovy,noodle,0,0
anchovy,nutmeg,0,0
anchovy,oat,0,0
anchovy,oatmeal,0,0
anchovy,octopus,0,0
anchovy,okra,0,0
anchovy,olive,7,1
anchovy,onion,0,0
anchovy,orange,0,0
anchovy,orange-juice,0,0
anchovy,oregano,0,0
anchovy,orzo,0,0
anchovy,oyster,0,0
anchovy,pancake,0,0
anchovy,papaya,0,0
anchovy,paprika,0,0
anchovy,parmesan,26,3
anchovy,parsley,15,2
anchovy,parsnip,0,0
anchovy,passion-fruit,0,0
anchovy,pasta,19,2
anchovy,pea,0,0
anchovy,peach,0,0
anchovy,peanut,3,0
anchovy,peanut-butter,0,0
anchovy,pear,0,0
anchovy,pecan,0,0
anchovy,pepper,0,0
anchovy,persimmon,0,0
anchovy,pickles,0,0
anchovy,pine-nut,3,0
anchovy,pineapple,0,0
anchovy,pistachio,0,0
anchovy,plum,0,0
anchovy,poblano,0,0
anchovy,pomegranate,0,0
anchovy,pomegranate-juice,0,0
anchovy,pork,0,0
anchovy,pork-chop,0,0
anchovy,pork-rib,0,0
anchovy,pork-tenderloin,0,0
anchovy,potato,0,0
anchovy,prosciutto,0,0
anchovy,prune,0,0
anchovy,pumpkin,0,0
anchovy,quail,0,0
anchovy,quince,0,0
anchovy,quinoa,0,0
anchovy,rabbit,0,0
anchovy,rack-of-lamb,0,0
anchovy,radicchio,0,0
anchovy,radish,7,1
anchovy,raisin,0,0
anchovy,raspberry,0,0
anchovy,red-wine,0,0
anchovy,rhubarb,0,0
anchovy,rice,0,0
anchovy,ricotta,0,0
anchovy,rosemary,0,0
anchovy,rum,0,0
anchovy,rutabaga,0,0
anchovy,rye,0,0
anchovy,saffron,0,0
anchovy,salmon,0,0
anchovy,salsa,0,0
anchovy,sangria,0,0
anchovy,sardine,0,0
anchovy,sausage,0,0
anchovy,scallop,0,0
anchovy,semolina,0,0
anchovy,sesame,0,0
anchovy,sesame-oil,0,0
anchovy,shallot,0,0
anchovy,shellfish,0,0
anchovy,shrimp,0,0
anchovy,sour-cream,0,0
anchovy,soy,0,0
anchovy,soy-sauce,0,0
anchovy,spinach,0,0
anchovy,squid,0,0
anchovy,strawberry,0,0
anchovy,sweet-potato,0,0
anchovy,swiss-cheese,0,0
anchovy,swordfish,0,0
anchovy,taco,0,0
anchovy,tamarind,0,0
anchovy,tapioca,0,0
anchovy,tarragon,7,1
anchovy,tequila,0,0
anchovy,thyme,0,0
anchovy,tilapia,0,0
anchovy,tofu,0,0
anchovy,tomatillo,0,0
anchovy,tomato,3,0
anchovy,tortillas,0,0
anchovy,trout,0,0
anchovy,tuna,0,0
anchovy,turkey,3,0
anchovy,turnip,0,0
anchovy,vanilla,0,0
anchovy,veal,0,0
anchovy,venison,0,0
anchovy,vinegar,0,0
anchovy,vodka,0,0
anchovy,walnut,7,1
anchovy,wasabi,0,0
anchovy,watercress,0,0
anchovy,watermelon,0,0
anchovy,whiskey,0,0
anchovy,white-wine,0,0
anchovy,whole-wheat,0,0
anchovy,wild-rice,0,0
anchovy,yogurt,3,0
anchovy,yuca,0,0
anchovy,zucchini,11,1
anise,almond,2,0
anise,anchovy,0,0
anise,anise,100,10
anise,apple,3,0
anise,apple-juice,1,0
anise,apricot,0,0
anise,artichoke,0,0
anise,arugula,1,0
anise,asian-pear,1,0
anise,asparagus,0,0
anise,avocado,0,0
anise,bacon,0,0
anise,banana,2,0
anise,barley,0,0
anise,basil,0,0
anise,bass,0,0
anise,bean,1,0
anise,beef,9,1
anise,beef-rib,0,0
anise,beef-shank,0,0
anise,beef-tenderloin,0,0
anise,beer,0,0
anise,beet,2,0
anise,bell-pepper,0,0
anise,berry,1,0
anise,biscuit,0,0
anise,blackberry,0,0
anise,blue-cheese,0,0
anise,blueberry,1,0
anise,bok-choy,0,0
anise,bran,0,0
anise,brandy,2,0
anise,bread,2,0
anise,breadcrumbs,0,0
anise,brie,0,0
anise,brisket,0,0
anise,broccoli,0,0
anise,broccoli-rabe,0,0
anise,brown-rice,0,0
anise,brussel-sprout,0,0
anise,buffalo,0,0
anise,bulgur,0,0
anise,butter,1,0
anise,buttermilk,0,0
anise,butternut-squash,0,0
anise,cabbage,1,0
anise,cantaloupe,0,0
anise,capers,0,0
anise,caramel,0,0
anise,caraway,0,0
anise,cardamom,2,0
anise,carrot,6,1
anise,cashew,1,0
anise,cauliflower,1,0
anise,caviar,0,0
anise,celery,0,0
anise,chard,0,0
anise,cheddar,0,0
anise,cherry,1,0
anise,chestnut,0,0
anise,chicken,7,1
anise,chickpea,0,0
anise,chile-pepper,0,0
anise,chili,0,0
anise,chive,1,0
anise,chocolate,8,1
anise,cilantro,3,0
anise,cinnamon,25,3
anise,citrus,6,1
anise,clam,0,0
anise,clove,13,1
anise,coconut,0,0
anise,cod,0,0
anise,coffee,0,0
anise,collard-greens,0,0
anise,cookie,0,0
anise,coriander,6,1
anise,corn,0,0
anise,cornmeal,0,0
anise,cottage-cheese,0,0
anise,couscous,1,0
anise,crab,0,0
anise,cranberry,2,0
anise,cranberry-sauce,0,0
anise,cream-cheese,0,0
anise,cucumber,0,0
anise,cumin,2,0
anise,currant,0,0
anise,curry,0,0
anise,date,2,0
anise,dill,2,0
anise,duck,0,0
anise,egg,10,1
anise,eggplant,0,0
anise,endive,0,0
anise,escarole,0,0
anise,fennel,1,0
anise,feta,0,0
anise,fig,3,0
anise,flat-bread,0,0
anise,fontina,0,0
anise,fruit-juice,1,0
anise,garlic,1,0
anise,gin,0,0
anise,ginger,26,3
anise,goat-cheese,1,0
anise,goose,0,0
anise,gouda,0,0
anise,granola,0,0
anise,grape,0,0
anise,grapefruit,1,0
anise,green-bean,0,0
anise,green-onion,0,0
anise,ground-beef,0,0
anise,ground-lamb,0,0
anise,guava,0,0
anise,halibut,0,0
anise,ham,0,0
anise,hazelnut,1,0
anise,herb,6,1
anise,hominy,0,0
anise,honey,10,1
anise,honeydew,0,0
anise,horseradish,1,0
anise,hot-pepper,4,0
anise,hummus,0,0
anise,jalapeno,2,0
anise,jam,0,0
anise,jerusalem-artichoke,0,0
anise,kale,0,0
anise,kiwi,1,0
anise,kumquat,0,0
anise,lamb,1,0
anise,lamb-chop,0,0
anise,lamb-shank,1,0
anise,leek,0,0
anise,legume,0,0
anise,lemon,8,1
anise,lemon-juice,0,0
anise,lemongrass,0,0
anise,lentil,0,0
anise,lettuce,2,0
anise,lima-bean,0,0
anise,lime,1,0
anise,lime-juice,0,0
anise,lingonberry,0,0
anise,lobster,0,0
anise,lychee,0,0
anise,macadamia-nut,0,0
anise,mango,6,1
anise,maple-syrup,0,0
anise,margarita,0,0
anise,marscarpone,0,0
anise,marshmallow,0,0
anise,mayonnaise,0,0
anise,meat,1,0
anise,melon,0,0
anise,milk,15,2
anise,mint,1,0
anise,mozzarella,0,0
anise,mushroom,2,0
anise,mussel,0,0
anise,mustard,3,0
anise,mustard-greens,0,0
anise,nectarine,1,0
anise,noodle,2,0
anise,nutmeg,1,0
anise,oat,2,0
anise,oatmeal,0,0
anise,octopus,0,0
anise,okra,0,0
anise,olive,0,0
anise,onion,7,1
anise,orange,4,0
anise,orange-juice,0,0
anise,oregano,0,0
anise,orzo,0,0
anise,oyster,0,0
anise,pancake,0,0
anise,papaya,1,0
anise,paprika,0,0
anise,parmesan,0,0
anise,parsley,0,0
anise,parsnip,0,0
anise,passion-fruit,0,0
anise,pasta,3,0
anise,pea,0,0
anise,peach,0,0
anise,peanut,0,0
anise,peanut-butter,0,0
anise,pear,1,0
anise,pecan,2,0
anise,pepper,1,0
anise,persimmon,0,0
anise,pickles,0,0
anise,pine-nut,1,0
anise,pineapple,1,0
anise,pistachio,2,0
anise,plum,2,0
anise,poblano,0,0
anise,pomegranate,0,0
anise,pomegranate-juice,0,0
anise,pork,0,0
anise,pork-chop,1,0
anise,pork-rib,1,0
anise,pork-tenderloin,1,0
anise,potato,0,0
anise,prosciutto,0,0
anise,prune,1,0
anise,pumpkin,0,0
anise,quail,0,0
anise,quince,0,0
anise,quinoa,0,0
anise,rabbit,0,0
anise,rack-of-lamb,0,0
anise,radicchio,0,0
anise,radish,0,0
anise,raisin,2,0
anise,raspberry,0,0
anise,red-wine,2,0
anise,rhubarb,0,0
anise,rice,2,0
anise,ricotta,0,0
anise,rosemary,2,0
anise,rum,3,0
anise,rutabaga,0,0
anise,rye,0,0
anise,saffron,0,0
anise,salmon,1,0
anise,salsa,0,0
anise,sangria,0,0
anise,sardine,0,0
anise,sausage,0,0
anise,scallop,0,0
anise,semolina,0,0
anise,sesame,3,0
anise,sesame-oil,0,0
anise,shallot,0,0
anise,shellfish,0,0
anise,shrimp,0,0
anise,sour-cream,1,0
anise,soy,0,0
anise,soy-sauce,7,1
anise,spinach,0,0
anise,squid,0,0
anise,strawberry,1,0
anise,sweet-potato,0,0
anise,swiss-cheese,0,0
anise,swordfish,0,0
anise,taco,0,0
anise,tamarind,0,0
anise,tapioca,1,0
anise,tarragon,0,0
anise,tequila,0,0
anise,thyme,3,0
anise,tilapia,0,0
anise,tofu,0,0
anise,tomatillo,0,0
anise,tomato,2,0
anise,tortillas,1,0
anise,trout,0,0
anise,tuna,0,0
anise,turkey,1,0
anise,turnip,2,0
anise,vanilla,7,1
anise,veal,0,0
anise,venison,0,0
anise,vinegar,2,0
anise,vodka,0,0
anise,walnut,6,1
anise,wasabi,0,0
anise,watercress,1,0
anise,watermelon,0,0
anise,whiskey,0,0
anise,white-wine,3,0
anise,whole-wheat,0,0
anise,wild-rice,0,0
anise,yogurt,0,0
anise,yuca,0,0
anise,zucchini,0,0
apple,almond,4,0
apple,anchovy,0,0
apple,anise,0,0
apple,apple,100,10
apple,apple-juice,0,0
apple,apricot,2,0
apple,artichoke,0,0
apple,arugula,0,0
apple,asian-pear,0,0
apple,asparagus,0,0
apple,avocado,0,0
apple,bacon,3,0
apple,banana,0,0
apple,barley,0,0
apple,basil,0,0
apple,bass,0,0
apple,bean,0,0
apple,beef,0,0
apple,beef-rib,0,0
apple,beef-shank,0,0
apple,beef-tenderloin,0,0
apple,beer,0,0
apple,beet,0,0
apple,bell-pepper,1,0
apple,berry,1,0
apple,biscuit,0,0
apple,blackberry,0,0
apple,blue-cheese,1,0
apple,blueberry,0,0
apple,bok-choy,0,0
apple,bran,0,0
apple,brandy,1,0
apple,bread,1,0
apple,breadcrumbs,0,0
apple,brie,0,0
apple,brisket,0,0
apple,broccoli,0,0
apple,broccoli-rabe,0,0
apple,brown-rice,0,0
apple,brussel-sprout,0,0
apple,buffalo,0,0
apple,bulgur,0,0
apple,butter,1,0
apple,buttermilk,0,0
apple,butternut-squash,1,0
apple,cabbage,5,1
apple,cantaloupe,0,0
apple,capers,0,0
apple,caramel,0,0
apple,caraway,0,0
apple,cardamom,0,0
apple,carrot,2,0
apple,cashew,0,0
apple,cauliflower,0,0
apple,caviar,0,0
apple,celery,5,1
apple,chard,0,0
apple,cheddar,2,0
apple,cherry,3,0
apple,chestnut,1,0
apple,chicken,3,0
apple,chickpea,0,0
apple,chile-pepper,0,0
apple,chili,0,0
apple,chive,0,0
apple,chocolate,0,0
apple,cilantro,0,0
apple,cinnamon,8,1
apple,citrus,1,0
apple,clam,0,0
apple,clove,2,0
apple,coconut,0,0
apple,cod,0,0
apple,coffee,0,0
apple,collard-greens,0,0
apple,cookie,0,0
apple,coriander,0,0
apple,corn,0,0
apple,cornmeal,0,0
apple,cottage-cheese,0,0
apple,couscous,0,0
apple,crab,0,0
apple,cranberry,7,1
apple,cranberry-sauce,0,0
apple,cream-cheese,1,0
apple,cucumber,0,0
apple,cumin,0,0
apple,currant,2,0
apple,curry,4,0
apple,date,1,0
apple,dill,0,0
apple,duck,0,0
apple,egg,7,1
apple,eggplant,0,0
apple,endive,1,0
apple,escarole,1,0
apple,fennel,2,0
apple,feta,0,0
apple,fig,1,0
apple,flat-bread,0,0
apple,fontina,0,0
apple,fruit-juice,7,1
apple,garlic,1,0
apple,gin,0,0
apple,ginger,6,1
apple,goat-cheese,0,0
apple,goose,0,0
apple,gouda,0,0
apple,granola,0,0
apple,grape,0,0
apple,grapefruit,0,0
apple,green-bean,0,0
apple,green-onion,0,0
apple,ground-beef,0,0
apple,ground-lamb,0,0
apple,guava,0,0
apple,halibut,0,0
apple,ham,0,0
apple,hazelnut,1,0
apple,herb,4,0
apple,hominy,0,0
apple,honey,3,0
apple,honeydew,0,0
apple,horseradish,1,0
apple,hot-pepper,0,0
apple,hummus,0,0
apple,jalapeno,0,0
apple,jam,1,0
apple,jerusalem-artichoke,0,0
apple,kale,1,0
apple,kiwi,0,0
apple,kumquat,0,0
apple,lamb,0,0
apple,lamb-chop,0,0
apple,lamb-shank,0,0
apple,leek,0,0
apple,legume,0,0
apple,lemon,1,0
apple,lemon-juice,0,0
apple,lemongrass,0,0
apple,lentil,0,0
apple,lettuce,0,0
apple,lima-bean,0,0
apple,lime,0,0
apple,lime-juice,0,0
apple,lingonberry,0,0
apple,lobster,0,0
apple,lychee,0,0
apple,macadamia-nut,0,0
apple,mango,1,0
apple,maple-syrup,1,0
apple,margarita,0,0
apple,marscarpone,0,0
apple,marshmallow,0,0
apple,mayonnaise,1,0
apple,meat,1,0
apple,melon,0,0
apple,milk,8,1
apple,mint,1,0
apple,mozzarella,0,0
apple,mushroom,0,0
apple,mussel,0,0
apple,mustard,2,0
apple,mustard-greens,0,0
apple,nectarine,0,0
apple,noodle,0,0
apple,nutmeg,1,0
apple,oat,3,0
apple,oatmeal,0,0
apple,octopus,0,0
apple,okra,0,0
apple,olive,0,0
apple,onion,8,1
apple,orange,3,0
apple,orange-juice,0,0
apple,oregano,0,0
apple,orzo,0,0
apple,oyster,0,0
apple,pancake,0,0
apple,papaya,0,0
apple,paprika,0,0
apple,parmesan,0,0
apple,parsley,1,0
apple,parsnip,1,0
apple,passion-fruit,0,0
apple,pasta,0,0
apple,pea,0,0
apple,peach,1,0
apple,peanut,0,0
apple,peanut-butter,0,0
apple,pear,2,0
apple,pecan,5,1
apple,pepper,0,0
apple,persimmon,0,0
apple,pickles,0,0
apple,pine-nut,0,0
apple,pineapple,0,0
apple,pistachio,0,0
apple,plum,0,0
apple,poblano,0,0
apple,pomegranate,0,0
apple,pomegranate-juice,0,0
apple,pork,6,1
apple,pork-chop,1,0
apple,pork-rib,0,0
apple,pork-tenderloin,0,0
apple,potato,2,0
apple,prosciutto,0,0
apple,prune,2,0
apple,pumpkin,0,0
apple,quail,0,0
apple,quince,2,0
apple,quinoa,0,0
apple,rabbit,0,0
apple,rack-of-lamb,0,0
apple,radicchio,0,0
apple,radish,0,0
apple,raisin,10,1
apple,raspberry,0,0
apple,red-wine,1,0
apple,rhubarb,0,0
apple,rice,0,0
apple,ricotta,0,0
apple,rosemary,0,0
apple,rum,2,0
apple,rutabaga,0,0
apple,rye,0,0
apple,saffron,0,0
apple,salmon,0,0
apple,salsa,0,0
apple,sangria,0,0
apple,sardine,0,0
apple,sausage,3,0
apple,scallop,0,0
apple,semolina,0,0
apple,sesame,0,0
apple,sesame-oil,0,0
apple,shallot,1,0
apple,shellfish,0,0
apple,shrimp,0,0
apple,sour-cream,1,0
apple,soy,0,0
apple,soy-sauce,0,0
apple,spinach,0,0
apple,squid,0,0
apple,strawberry,0,0
apple,sweet-potato,2,0
apple,swiss-cheese,0,0
apple,swordfish,0,0
apple,taco,0,0
apple,tamarind,0,0
apple,tapioca,0,0
apple,tarragon,0,0
apple,tequila,0,0
apple,thyme,1,0
apple,tilapia,0,0
apple,tofu,0,0
apple,tomatillo,0,0
apple,tomato,0,0
apple,tortillas,0,0
apple,trout,0,0
apple,tuna,0,0
apple,turkey,1,0
apple,turnip,0,0
apple,vanilla,1,0
apple,veal,0,0
apple,venison,0,0
apple,vinegar,5,1
apple,vodka,0,0
apple,walnut,7,1
apple,wasabi,0,0
apple,watercress,1,0
apple,watermelon,0,0
apple,whiskey,0,0
apple,white-wine,1,0
apple,whole-wheat,0,0
apple,wild-rice,0,0
apple,yogurt,2,0
apple,yuca,0,0
apple,zucchini,0,0
apple-juice,almond,0,0
apple-juice,anchovy,0,0
apple-juice,anise,25,3
apple-juice,apple,25,3
apple-juice,apple-juice,100,10
apple-juice,apricot,0,0
apple-juice,artichoke,0,0
apple-juice,arugula,0,0
apple-juice,asian-pear,0,0
apple-juice,asparagus,0,0
apple-juice,avocado,0,0
apple-juice,bacon,0,0
apple-juice,banana,0,0
apple-juice,barley,0,0
apple-juice,basil,0,0
apple-juice,bass,0,0
apple-juice,bean,0,0
apple-juice,beef,0,0
apple-juice,beef-rib,0,0
apple-juice,beef-shank,0,0
apple-juice,beef-tenderloin,0,0
apple-juice,beer,0,0
apple-juice,beet,0,0
apple-juice,bell-pepper,0,0
apple-juice,berry,0,0
apple-juice,biscuit,0,0
apple-juice,blackberry,0,0
